epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70691,3.54734,5.00832,4.53415,0,0,0,0,2.75467,4.81049,4.15963,0,0,0
2,2.72501,4.33208,4.95353,4.47719,0,0,0,0,2.75465,4.81026,4.15968,5.20793e-06,5.20793e-06,5.20793e-06
3,3.64195,2.7228,5.13139,4.44923,0,0,0,0,2.75491,4.80782,4.15971,1.03117e-05,1.03117e-05,1.03117e-05
4,4.66916,4.6933,4.94749,4.18863,0,0,0,0,2.75521,4.81025,4.1601,1.53113e-05,1.53113e-05,1.53113e-05
5,5.64378,3.23274,5.05661,4.38722,0,0,0,0,2.75521,4.81025,4.16045,2.02068e-05,2.02068e-05,2.02068e-05
6,6.62905,2.31998,5.14887,4.47463,0,0,0,0,2.75546,4.80808,4.16076,2.49982e-05,2.49982e-05,2.49982e-05
7,7.43872,3.66878,5.07948,4.37717,0,0,0,0,2.75546,4.81127,4.16134,2.96853e-05,2.96853e-05,2.96853e-05
8,8.30776,4.27995,4.83026,4.41586,0,0,0,0,2.75641,4.81174,4.16155,3.42684e-05,3.42684e-05,3.42684e-05
9,9.13782,3.13484,5.11441,4.43492,0,0,0,0,2.75674,4.81271,4.16206,3.87473e-05,3.87473e-05,3.87473e-05
10,9.93375,3.62067,5.13056,4.77933,0,0,0,0,2.75768,4.80997,4.1621,4.3122e-05,4.3122e-05,4.3122e-05
11,10.9181,4.19118,4.91713,4.45536,0,0,0,0,2.75768,4.80998,4.16244,4.73926e-05,4.73926e-05,4.73926e-05
12,11.7386,3.75768,5.00777,4.27058,0,0,0,0,2.75768,4.80998,4.16248,5.1559e-05,5.1559e-05,5.1559e-05
13,12.5912,4.38755,4.85051,4.58303,0,0,0,0,2.75867,4.80952,4.16278,5.56213e-05,5.56213e-05,5.56213e-05
14,13.493,2.43542,5.20517,4.20454,0,0,0,0,2.75867,4.80952,4.16305,5.95795e-05,5.95795e-05,5.95795e-05
15,14.5366,4.71324,4.91476,4.32308,0,0,0,0,2.75863,4.80951,4.16323,6.34335e-05,6.34335e-05,6.34335e-05
16,15.4088,4.63715,4.83868,4.51842,0,0,0,0,2.75863,4.80951,4.16374,6.71834e-05,6.71834e-05,6.71834e-05
17,16.2458,3.24692,5.08217,4.37914,0,0,0,0,2.75873,4.81044,4.16412,7.08291e-05,7.08291e-05,7.08291e-05
18,17.0911,2.75829,5.26942,4.24739,0,0,0,0,2.75873,4.81044,4.16412,7.43706e-05,7.43706e-05,7.43706e-05
19,17.9102,3.49837,4.97626,4.45198,0,0,0,0,2.758,4.81391,4.16418,7.7808e-05,7.7808e-05,7.7808e-05
20,18.8269,3.75851,5.00507,4.29182,0,0,0,0,2.758,4.81391,4.16418,8.11413e-05,8.11413e-05,8.11413e-05
21,19.7632,3.44439,4.98021,4.24438,0,0,0,0,2.76141,4.81737,4.16467,8.43704e-05,8.43704e-05,8.43704e-05
22,20.5951,4.58693,4.94925,4.24126,0,0,0,0,2.76141,4.81737,4.16467,8.74954e-05,8.74954e-05,8.74954e-05
23,21.4837,3.63313,4.99325,4.62421,0,0,0,0,2.76195,4.81493,4.1653,9.05162e-05,9.05162e-05,9.05162e-05
24,22.5208,4.03772,4.71738,4.30414,0,0,0,0,2.76195,4.81493,4.1653,9.34329e-05,9.34329e-05,9.34329e-05
25,23.3601,2.44567,5.4287,4.16899,0,0,0,0,2.76162,4.81573,4.16532,9.62454e-05,9.62454e-05,9.62454e-05
26,24.1692,4.11424,4.88586,4.2433,0,0,0,0,2.76162,4.81573,4.16532,9.89537e-05,9.89537e-05,9.89537e-05
27,25.0271,4.00474,4.88054,4.20061,0,0,0,0,2.76115,4.81416,4.1654,0.000101558,0.000101558,0.000101558
28,25.7817,3.99174,4.80451,4.39706,0,0,0,0,2.76115,4.81416,4.1654,0.000104058,0.000104058,0.000104058
